Movie;IMDb ID;IMDb Rating;Gross Revenue;Budget;Net Profit
Emotional Arithmetic;0861704;6.1;;6800000;
Empire of the Sun;0092965;7.8;66700000;35000000;31700000
Enchanted April;0101811;7.4;13200170;;
Wake Up and Dream;0039092;6.4;;;
The End of the Affair;0172396;7.2;10660147;23000000;-12339853
Endless Love;2318092;6.3;23393765;20000000;3393765
Enduring Love;0375735;6.4;358262;;
Enemies of Women;0014021;4.0;;;
The Enemy Below;0050356;7.6;;;
Enemy Mine;0089092;6.9;12303411;40000000;-27696589
The English Patient;0116209;7.4;231976425;27000000;204976425
Enigma (2001);;;;;
The Entity;0082334;6.6;13277558;;
Eragon;0449010;5.1;249488115;100000000;149488115
Escape;0032447;7.1;;;
Escape to Witch Mountain;0072951;6.3;;;
The Evening Star;0116240;5.8;12767815;;
Everybody's All-American;0095119;6.2;12638294;;
Everything Is Illuminated;0404030;7.5;1705595;7000000;-5294405
The Yellow Canary;0057700;7.2;;;
Evil Under the Sun;0083908;7.0;6110000;;
Cape Fear;0101540;7.3;182300000;35000000;147300000
Executive Suite;0046963;7.4;;;
Exit To Eden;;;;;
Exit Wounds;0242445;5.5;79958599;33000000;46958599
Exodus;0053804;6.8;21750000;4000000;17750000
The Exorcist;0070047;8.0;441306145;8000000;433306145
Experiment Perilous;0036807;6.4;;;
Extension du domaine de la lutte;0211359;6.9;;;
Extremely Loud & Incredibly Close;0477302;6.9;55247881;;
Mortelle randonnée;0084358;7.3;;;
Fanaa;0439662;7.2;2100110;;
Fahrenheit 451;0060390;7.3;;1500000;
Fail-Safe;0058083;8.0;;;
The Angel Wore Red;0053601;5.6;;;
The Fall of a Nation;0006664;5.1;;;
Angel Heart;0092563;7.3;17185632;17000000;185632
False Witness;1090903;5.6;;;
The One and Only, Genuine, Original Family Band;0063389;6.5;;;
The Partridge Family;0065333;6.5;;;
The Fan;0116277;5.8;18573791;55000000;-36426209
The Fan;0082362;5.7;;;
Fantastic Mr. Fox;0432283;7.8;46471023;40000000;6471023
Far from the Madding Crowd;2935476;7.1;12229314;;
Ba wang bie ji;0106332;8.1;5216888;;
A Farewell to Arms;0050379;5.9;25000000;4353000;20647000
Farewell to the King;0097334;6.3;2420917;20000000;-17579083
Face Is the Hunter;;;;;
Das Wunder des Malachias;0055183;7.6;;;
Gods and Monsters;0120684;7.5;6390032;3500000;2890032
Father's Little Dividend;0043526;6.6;;;
Taps;0083169;6.7;35856053;14000000;21856053
Fear and Loathing in Las Vegas;0120669;7.7;10680275;18500000;-7819725
Killer Elite;1448755;6.5;25093607;35000000;-9906393
The Lord of the Rings: The Fellowship of the Ring;0120737;8.8;871530324;93000000;778530324
Cet obscur objet du désir;0075824;8.0;55261;;
Femmes de personne;0085530;5.1;;;
Le feu follet;0057058;8.1;;;
Fever Pitch;0332047;6.2;42071069;30000000;12071069
The Raging Tide;0043957;6.3;;;
Fight Club;0137523;8.9;100853753;63000000;37853753
Fighting Caravans;0021861;5.8;;;
The Final Programme;0070289;5.7;;;
Fire on the Mountain;0082380;7.2;;;
Firefox;0083943;5.9;70687344;21000000;49687344
Firestarter;0087262;6.0;15100000;15000000;100000
The Firm;0106918;6.8;270248367;42000000;228248367
First Blood;0083944;7.7;125212904;14000000;111212904
Schmetterlinge;0096052;7.6;;;
Le voyage dans la lune;0000417;8.2;;;
The First Wives Club;0116313;6.2;181489203;26000000;155489203
The Five People You Meet in Heaven;0400435;7.4;;20000000;
Scandal;1837576;7.9;;;
Flaming Youth;0014045;6.9;;;
Flashpoint;1059475;7.7;;;
Fletch;0089155;6.9;59612888;;
Fletch Won;;;;;
Flight of the Intruder;0099587;5.7;14587732;35000000;-20412268
The Flight of the Phoenix;0059183;7.6;;;
Flowers in the Attic;3074694;6.1;;;
Flowing Gold;0032481;6.6;;;
Focus (2001);;;;;
The Food of the Gods;0074540;4.3;;;
Escape Me Never;0039357;5.9;;;
For Love of the Game;0126916;6.5;35168395;80000000;-44831605
For Whom the Bell Tolls;0035896;7.0;17800000;3000000;14800000
Forbidden Territory;0025131;6.5;;;
Force 10 from Navarone;0077572;6.3;7230000;5000000;2230000
Forever Amber;0039391;6.8;16000000;6000000;10000000
The Forever War;;;;;
Forlorn River;0028890;5.0;;;
The Formula;0080754;5.6;8894289;;
Forrest Gump;0109830;8.8;677945399;55000000;622945399
The Forsyte Saga;0260615;8.2;;;
The Fountainhead;0041386;7.1;;;
Four Feathers;0005353;6.5;;;
The Fourth Protocol;0093044;6.5;12423831;;
The Fox and the Hound;0082406;7.3;63456988;12000000;51456988
F.P.1 antwortet nicht;0022869;6.2;;;
The Adventures of Frank Merriwell;0027259;6.1;;;
Young Frankenstein;0072431;8.1;86300000;2800000;83500000
Frau im Mond;;;;;
Freaky Friday;0322330;6.1;160846332;26000000;134846332
Freedomland;0349467;5.1;12512886;37665000;-25152114
The French Lieutenant's Woman;0082416;7.0;22600000;;
Fried Green Tomatoes;0101921;7.6;119418501;11000000;108418501
Deadly Friend;0090917;5.4;8988731;;
Friendly Persuasion;0049233;7.5;8000000;3000000;5000000
From Here to Eternity;0045793;7.8;30500000;1650000;28850000
From Russia with Love;0057076;7.5;78900000;2000000;76900000
From the Earth to the Moon;0120570;8.9;;68000000;
From the Terrace;0053841;6.7;11336000;;
Funeral in Berlin;0060437;6.9;;;
Funny Farm;0095188;6.1;25537221;19000000;6537221
The Furies;0042490;7.4;;;
The Fury;0077588;6.4;24000000;5500000;18500000
The Fuzzy Pink Nightgown;0050422;5.7;;;
G@me;0431077;6.7;;;
Condorman;0082199;5.7;;;
The Garden of Allah;0027657;6.0;;2200000;
Return to the Blue Lagoon;0102782;5.0;2807854;11000000;-8192146
Gardens of Stone;0093073;6.4;5262047;;
The Gay Sisters;0034770;6.7;;;
Gentle Annie;0036859;6.3;;;
Gentlemen Prefer Blondes;0045810;7.3;12000000;;
Geordie;;;;;
Georgy Girl;0060453;6.9;;400000;
Get Shorty;0113161;6.9;115101622;30250000;84851622
The Getaway;0068638;7.5;58831997;3352254;55479743
The Ghost Writer (2010);;;;;
The Ghost and Mrs. Muir;0039420;7.9;;;
Giant;0049261;7.7;35000000;5400000;29600000
Gidget;0058806;6.8;;;
Gigi;0051658;6.9;;3319355;
The Gingerbread Man;0119196;5.7;1534569;25000000;-23465431
The Girl from Petrovka;0071554;5.4;;;
Toki o kakeru shôjo;0808506;7.9;;;
Girl with a Pearl Earring (2003);;;;;
Suburban Girl;0428579;5.5;;;
The Towering Inferno;0072308;6.9;139700000;14000000;125700000
Glitz;0095223;5.8;;;
The Best Years of Our Lives;0036868;8.2;;2100000;
Gnomes;0343727;7.8;;;
The Gnome-Mobile;0061715;6.5;;;
The Go-Between;4073696;7.1;;;
Follow Me, Boys!;0060420;7.2;;;
The Godfather;0068646;9.2;245066411;6000000;239066411
Gettysburg;0107007;7.7;10769960;25000000;-14230040
They Came from Beyond Space;0062360;4.5;;;
God's Little Acre;0051666;6.8;;;
Miami Vice;0086759;7.5;;1500000;
Gold;0071566;5.7;;;
The Golden Bowl;0200669;5.9;3037579;15000000;-11962421
Charley and the Angel;0069866;6.2;;;
Priklyucheniya Buratino;0073570;7.9;;;
Goldfinger;0058150;7.8;124900000;3000000;121900000
Gone with the Wind;0031381;8.2;400176459;3977000;396199459
The Good Earth;0028944;7.8;;2800000;
The Good German;0452624;6.1;5914908;32000000;-26085092
A Good Year (2006);;;;;
Frenzy;0068611;7.5;16000000;2000000;14000000
Goodbye, Mr. Chips;0031385;7.7;;;
Gorky Park;0085615;6.8;15900000;;
Grand Canary;0025196;7.3;;;
The Grapes of Wrath;0032551;8.1;;800000;
The Great Bank Robbery;0064391;5.5;;;
One of Our Dinosaurs Is Missing;0075016;6.0;;;
Great Expectations;1836808;6.4;258656;;
The Great Gatsby;1343092;7.3;351040419;105000000;246040419
The Great Man;0049280;7.1;;;
The Great Santini;0079239;7.2;4702575;;
The First Great Train Robbery;0079240;7.0;13027857;6000000;7027857
The Indians are Coming;;;;;
Green for Danger;0038577;7.6;;;
Green Mansions;0052864;5.6;;3000000;
The Green Mile;0120689;8.5;286801374;60000000;226801374
The Green Years;0038578;7.1;;;
The Greengage Summer;0055098;7.2;;;
Grendel Grendel Grendel;0082478;6.8;;;
The Grifters;0099703;7.0;13446769;;
L'Ours;;;;;
The Grotesque;0113224;5.5;;;
The Group;0060479;6.6;;;
De griezelbus;0436370;5.4;;;
War of the Buttons;0111666;7.5;12712;;
Les faussaires (2007);;;;;
Novyy Gulliver;0026793;6.8;;;
The Guns of Navarone;0054953;7.6;28900000;6000000;22900000
Guns of the Timberland;0053884;5.6;;;
The Gypsy Moths;0064397;6.4;;;
H.M. Pulham, Esq.;0033686;7.1;;;
Hababam Sınıfı;;;;;
WUSA;0066540;5.5;;4800000;
The Long, Hot Summer;0051878;7.5;;;
Hammers Over the Anvil;0101996;6.0;;;
The Handmaid's Tale;0099731;6.0;4960385;;
Hannibal (2001);;;;;
Happy Land;0035970;6.3;;;
Al Haram (1965);;;;;
The Harder They Fall;0049291;7.6;;;
Harry Black;;;;;
Harry Potter;;;;;
Harry Potter and the Sorcerer's Stone;0241527;7.5;974755371;125000000;849755371
Harry Potter and the Chamber of Secrets;0295297;7.4;878979634;100000000;778979634
Harry Potter and the Prisoner of Azkaban;0304141;7.8;796688549;130000000;666688549
Harry Potter and the Goblet of Fire;0330373;7.6;896911078;150000000;746911078
Harry Potter and the Order of the Phoenix;0373889;7.5;939885929;150000000;789885929
Harry Potter and the Half-Blood Prince;0417741;7.5;934416487;250000000;684416487
Harry Potter and the Deathly Hallows Part 1;;;;;
Hart's War;0251114;6.3;32286000;60000000;-27714000
Vozvrashchenie Vasiliya Bortnikova;0045301;6.3;;;
The Harvey Girls;0038589;7.1;;2524315;
Hating Alison Ashley;0402247;5.7;;;
Hatter's Castle;;;;;
Haunted Harbor;0036900;6.7;;170099;
The Haunting;0057129;7.6;2616000;1400000;1216000
Hawaii;0060491;6.5;34562222;15000000;19562222
Hawk of the Wilderness;0030219;7.5;;;
He Ran All the Way;0043625;7.0;;;
Header (2006);;;;;
Monte Carlo (2011);;;;;
The Heart of the Matter;0047066;7.2;;;
Xin yi tian tu long ji;0106181;8.4;;;
Heidi;0028988;7.3;;;
The Legend of Hell House;0070294;6.9;;;
Hellraiser;0093177;7.1;14564027;1000000;13564027
Heller in Pink Tights;0053902;6.0;;;
The Help (2011);;;;;
Heritage of the Desert;0022999;5.3;;;
The High and the Mighty;0047086;6.9;;;
High Fidelity;0146882;7.6;27277055;20000000;7277055
The History of Mr. Polly;0041469;6.7;;;
The History of Tom Jones, a Foundling;0123351;7.9;;;
A History of Violence;0399146;7.5;31493782;32000000;-506218
The Hitchhiker's Guide to the Galaxy;0371724;6.8;104478416;50000000;54478416
The Hobbit: An Unexpected Journey;0903624;7.9;1021103568;180000000;841103568
The Holcroft Covenant;0089283;5.7;393825;;
The Dreamers;0309987;7.2;14082883;;
Hombre;0061770;7.4;;;
Ghare Baire;;;;;
The Honorary Consul;0085236;5.7;5997566;11800000;-5802434
Hopalong Cassidy;0041030;8.0;;;
Horrid Henry: The Movie;1684555;3.7;;;
Hud;0057163;8.0;;2500000;
The Host (2013);;;;;
The Hot Rock;0068718;6.8;;;
The Hound of the Baskervilles;0031448;7.6;;;
The Shaggy D.A.;0075200;5.7;;;
The Hour Before the Dawn;0036930;5.8;;;
The Hours (2002);;;;;
How Green Was My Valley;0033729;7.8;6000000;1250000;4750000
Howards End;0104454;7.5;25967000;;
The Howling;0082533;6.6;17986000;1000000;16986000
The Human Stain;0308383;6.3;24863804;30000000;-5136196
The Belle of Broadway;0016639;7.0;;;
One Hundred and One Dalmatians;0055254;7.2;215880014;4000000;211880014
The Hunger Games;1392170;7.3;694394724;78000000;616394724
Vigo;0118801;6.3;;;
Mockingjay;;;;;
The Hunt for Red October;0099810;7.6;200512643;30000000;170512643
Point Blank;0062138;7.4;;3000000;
The Hustler;0054997;8.1;;2000000;
The Last Man on Earth;3230454;7.5;;;
I Am Number Four;1464540;6.1;149878437;50000000;99878437
I Know What You Did Last Summer;0119345;5.6;125586134;17000000;108586134
I Love You, Beth Cooper;1032815;5.3;14793904;18000000;-3206096
Ice Station Zebra;0063121;6.6;;8000000;
The Lady from Shanghai;0040525;7.7;7927;2300000;-2292073
The Ipcress File;0059319;7.3;;;
The Illustrated Man;0064473;6.0;;;
All Quiet on the Western Front;0020629;8.1;3270000;1448864;1821136
Imagining Argentina;0314197;6.3;;;
Freejack;0104299;5.3;17129000;30000000;-12871000
Cynara;0022796;7.2;;;
In Country;0097570;5.9;3531971;18000000;-14468029
The Incredible Journey;0057180;7.1;;;
Incubus;0084133;5.1;;;
A Man Called Horse;0066049;6.9;;;
The Innocent;0106185;5.7;553454;;
V poiskakh kapitana Granta;0088635;8.3;;;
My Reputation;0038765;7.0;;;
Interview with the Vampire: The Vampire Chronicles;0110148;7.6;223664608;60000000;163664608
Kojak: The Price of Justice;0091353;7.1;;;
The Invisible Man;0024184;7.7;;;
In the Heat of the Night;0094484;7.4;;;
In This House of Brede;0073160;8.0;;;
The Iron Giant;0129167;8.0;80000000;48000000;32000000
The Iron Horse;0015016;7.3;;;
The Island;0399201;6.9;162949164;126000000;36949164
Island in the Sky;0045919;7.0;;967000;
Island of Lost Souls;0024188;7.6;;;
Islands in the Stream;0076211;6.6;;;
It;0099864;6.9;;;
Shadow of the Land;;;;;
Ivanhoe;0044760;6.9;24729920;3842000;20887920
Book of Love;0099166;6.0;1382259;;
Hit Man;0068704;5.7;;;
James and the Giant Peach;0116683;6.7;28934758;38000000;-9065242
Shanti Nilayam;0390476;7.8;;;
Jassy;0039509;6.4;;;
Jaws;0073195;8.1;470653000;8000000;462653000
La femme du boulanger;0030127;7.6;;;
Blood from the Mummy's Tomb;0068290;5.8;;;
Pocket Money;0069103;5.5;;2700000;
Jimmy the Kid;0120717;5.1;;;
D-Tox;0160184;5.2;6416302;55000000;-48583698
Johnny Tremain;0050567;6.6;;;
Josepha;0084176;6.0;;;
Journal d'un curé de campagne;0042619;8.0;;;
Treasure of Matecumbe;0075347;6.3;;;
Journey to Shiloh;0063161;5.7;;;
Da nao tian gong;0059855;8.2;;;
The Joy Luck Club;0107282;7.6;32861136;11000000;21861136
Jude the Obscure;0066674;7.6;;;
Made in U.S.A;0060647;6.5;81105;50000;31105
Jumanji;0113497;6.9;262797249;50000000;212797249
Maugli;0217590;7.8;;;
Shining Victory;0034184;7.5;;;
Jurassic Park;0107290;8.1;1029153882;63000000;966153882
The Jungle;0004182;7.0;;17000;
Justine;0064526;5.7;;;
Shin kaitei gunkan;0114425;6.2;;;
Kami no tsuki;3560492;7.1;;;
Kenka erejî;0060586;7.4;;;
The Keys of the Kingdom;0036983;7.5;;3000000;
Ai-Fak;0414808;6.9;;;
Secuestrados;1629377;6.4;869024;;
Quest for Camelot;0120800;6.2;22717758;40000000;-17282242
Watusi;0053436;5.8;;;
Tengoku to jigoku;0057565;8.4;;;
Kings Go Forth;0051819;6.6;;;
Kings Row;0034946;7.7;;;
Gettysburg;0107007;7.7;10769960;25000000;-14230040
The Killer Inside Me;0954947;6.1;214966;13000000;-12785034
Half a Sixpence;0061742;6.4;;;
Kirishima, bukatsu yamerutteyo;2142797;7.6;;;
Kiss of the Spider Woman;0089424;7.4;17037728;;
Kiss the Girls;0119468;6.6;60527873;27000000;33527873
Kiss Tomorrow Goodbye;0042648;7.2;;;
Klansman;0071721;4.9;;5000000;
The Night Stalker;0067490;7.8;;450000;
Chinese Box;0118851;6.3;2195190;;
Black Rain;0096933;6.6;134212055;30000000;104212055
L.A. Confidential;0119488;8.3;126216940;35000000;91216940
Lad, A Dog;;;;;
Lady Audley's Secret;0228502;6.3;;;
Lady L;0059377;5.6;;;
Camille;0028683;7.6;1688000;1486000;202000
The Lair of the White Worm;0095488;5.8;1189315;2500000;-1310685
Cordelia;1776136;;;;
The Land That Time Forgot;0073260;5.7;;;
Lassie Come Home;0036098;7.2;;;
Gli ultimi giorni di Pompei;0054422;5.7;;;
The Last Detail;0070290;7.6;;;
The Last Hunt;0049432;7.0;;;
Last of the Duanes;0033817;6.3;;;
The Last of the Mohicans;0104691;7.8;75505856;40000000;35505856
The Last Picture Show;0067328;8.1;29133000;1300000;27833000
The Missing;3877200;8.1;;;
The Last Song;1294226;5.8;89041656;20000000;69041656
Apache Territory;0051369;5.6;;;
Last Stand at Saber River;0119501;7.0;;;
The Last Unicorn;0084237;7.5;6455530;;
The Late George Apley;0039556;7.1;;;
Glory;0097441;7.9;26830000;18000000;8830000
Layer Cake;0375912;7.4;;;
Laura;0037008;8.1;;;
Law & Order;0098844;7.7;;;
Border Shootout;0097720;4.5;;;
The Quiet Gun;0050874;6.4;;;
Lawyer Man;0023125;6.6;;;
Lovin' Molly;0071780;6.0;;;
Get Christie Love!;0070990;6.1;;;
Left Behind II: Tribulation Force;0283644;5.2;;3800000;
The Exorcist III;0099528;6.3;39024251;;
Lemonade Mouth;1648204;7.0;;;
Il gattopardo;0057091;8.1;;;
Less Than Zero;0093407;6.3;12396383;;
Låt den rätte komma in;1139797;8.0;7282007;4000000;3282007
A Letter to Three Wives;0041587;7.9;;;
How Do I Love Thee?;0065859;4.4;;;
Dangerous Liaisons;0094947;7.7;34700000;14000000;20700000
La vie devant soi;0076348;7.3;;;
Life of Pi (film);;;;;
The Lincoln Lawyer;1189340;7.3;87145086;40000000;47145086
A Lion Is in the Streets;0046002;6.3;;;
Little Dorrit;1178522;8.3;;;
The Hand;0082497;5.4;;;
Eine Liebe in Deutschland;0085843;6.8;;;
A Cock and Bull Story;;;;;
The Light in the Forest;0051864;6.7;;;
The Light of Western Stars;0032706;5.7;;;
The Work and the Glory: American Zion;;;;;
Little Caesar;0021079;7.4;;;
The Little Drummer Girl;0087629;6.1;7828841;;
The Secret of Moonacre;0396707;6.2;;12000000;
Live and Let Die;0070328;6.8;126377836;7000000;119377836
Head On;0138487;6.6;378667;;
The Legend of Lobo;0056173;7.1;;;
Logan's Run;0074812;6.8;25000000;9000000;16000000
Lolita;0119558;6.9;1060056;58000000;-56939944
Lone Star Ranger;0034994;5.4;;;
The Long Goodbye;0070334;7.7;959000;;
Charley Varrick;0069865;7.5;;;
Lord Jim;0059399;6.9;;;
Lord of the Flies;0100054;6.4;13985225;;
The Lord of the Rings: The Return of the King;0167260;8.9;1119929521;94000000;1025929521
The Lords of Discipline;0085867;6.6;11787127;;
Lost Horizon;0029162;7.8;;4000000;
The Island at the Top of the World;0071671;6.3;;;
The Lost Symbol;;;;;
The Lost World;0240278;7.3;;;
The Lost World: Jurassic Park;0119567;6.5;618638999;73000000;545638999
Letha Manasulu;0234094;8.4;;;
The Loved One;0059410;7.3;;;
Love Story;0066011;6.9;136400000;2200000;134200000
The Lovely Bones;0380510;6.7;93621340;65000000;28621340
Barry Lyndon;0072684;8.1;31500000;11000000;20500000
The Lucky One;1327194;6.5;99357138;25000000;74357138
Bitter Moon;0104779;7.1;1862805;5000000;-3137195
The Lusty Men;0044860;7.6;;;
Mackenna's Gold;0064615;6.8;;7000000;
Mrs. Doubtfire;0107614;6.9;441286195;25000000;416286195
The Maddening;0113732;4.7;;;
Bedknobs and Broomsticks;0066817;7.0;18530000;20000000;-1470000
Ansiktet;0051365;7.8;;;
Magnificent Obsession;0047203;7.1;;;
The Adventures of Martin Eden;0034431;6.5;;;
Soylent Green;0070723;7.1;;;
The Maltese Falcon;0033870;8.2;1772000;375000;1397000
Un hombre llamado Noon;0068870;5.3;;;
Rough Night in Jericho;0062218;6.4;;;
The Man in the Gray Flannel Suit;0049474;7.2;10875000;;
Man on Fire;0328107;7.7;130293714;70000000;60293714
The Man Who Fell to Earth;0074851;6.7;100072;;
The Man Who Never Was;0049471;7.5;;;
The Man with the Golden Gun;0071807;6.8;97600000;13000000;84600000
The Man Without a Face;0107501;6.7;24760338;;
Man Without a Star;0048340;7.0;;;
The Manchurian Candidate;0368008;6.6;65948711;80000000;-14051289
Manon des sources;0091480;8.0;3940542;;
Marnie;0058329;7.2;7000000;3000000;4000000
Mary Poppins;0058331;7.8;115272727;6000000;109272727
M*A*S*H;0068098;8.4;;;
Marathon Man;0074860;7.5;21709020;;
The Matarese Circle;;;;;
Matilda;0117008;6.8;33084249;36000000;-2915751
Maurice;0093512;7.8;3130592;2600000;530592
The Mayor of Casterbridge;0077052;8.4;;;
Greed;0015881;7.9;;546883;
The Medusa Touch;0077921;7.1;;;
Cleopatra;0056937;7.0;71777778;31115000;40662778
The Mephisto Waltz;0067419;6.0;;;
Mercy Island;0033906;5.5;;;
Make Me a Star;0023175;6.6;;;
Message in a Bottle;0139462;6.1;118880016;80000000;38880016
Tony Rome;0062380;6.5;;;
So Dear to My Heart;0041890;7.3;;;
A Midnight Clear;0102443;7.2;1526697;5000000;-3473303
Children of the Damned;0056931;6.2;;;
Mildred Pierce;1492030;7.7;;;
Millennium;0097883;5.7;5777099;;
The Girl with the Dragon Tattoo (2009);;;;;
Flickan som lekte med elden;1216487;7.1;;;
Luftslottet som sprängdes;1343097;7.3;;;
Innocence;0251141;7.4;2194919;;
The Mirror Crack'd;0081163;6.2;;;
Los Miserables;3904944;8.1;;;
Misery;0100157;7.8;61276872;20000000;41276872
Lonelyhearts;0053017;6.7;;;
Tom and Jerry;0008688;7.9;;;
Moderato cantabile;0054091;6.9;;;
The Molly Maguires;0066090;6.9;;11000000;
The Killer Elite;0073240;6.0;1000000;;
The Navy vs. the Night Monsters;0060741;2.8;;178000;
Branded;1368440;4.7;353468;;
The Moon and Sixpence;0035078;6.8;;401000;
Moonraker;0079574;6.3;210308099;34000000;176308099
The Moon-Spinners;0058371;6.9;;;
The Moonstone;0117080;6.8;;;
The Mortal Instruments: City of Bones;1538403;6.0;90565421;60000000;30565421
Torchwood;0485301;7.8;;;
The Mosquito Coast;0091557;6.6;14302779;25000000;-10697221
Summer Magic;0057542;7.1;;;
Mother Night;0117093;7.2;392362;6000000;-5607638
Brave New Girl;0403118;5.0;;;
Harper;0060490;7.0;;3500000;
Mr. Hobbs Takes a Vacation;0056255;6.9;;2000000;
The Incredible Mr. Limpet;0058230;6.4;;;
Mr. Winkle Goes to War;0037095;6.8;;;
The Secret of NIMH;0084649;7.6;14665733;7000000;7665733
Murder Most Foul;0058383;7.2;;;
Wild River;0054476;7.7;;;
La mujer de mi hermano;0463345;6.3;2804642;;
The Professionals;0060862;7.4;19537346;;
Amityville II: The Possession;0083550;5.4;12534817;;
Murder on the Orient Express;0071877;7.3;35733867;;
Murphy's Romance;0089643;6.9;30762621;13000000;17762621
Bullitt;0062765;7.5;42300873;5500000;36800873
My Antonia;0113892;6.7;;;
The Happiest Millionaire;0061749;6.9;;;
Green Grass of Wyoming;0040402;6.4;;;
Abdulla the Great;0048922;4.3;;;
Cowboy;0051496;6.8;;;
The Mystery of Edwin Drood;1991897;6.7;;;
20,000 Leagues Under the Sea;0046672;7.2;28200000;5000000;23200000
Mystic River;0327056;8.0;156822020;30000000;126822020
Der Name der Rose;0091605;7.8;;;
The Naked and the Dead;0051978;6.5;;;
The Naked Country;0087776;5.3;;;
The Naked Face;0087777;5.4;;;
Naked Lunch;0102511;7.1;2541541;16000000;-13458459
The Guardian;0099710;5.3;17037887;;
The Nanny Diaries;0489237;6.2;25925170;20000000;5925170
The Natural;0087781;7.5;47951979;28000000;19951979
National Velvet;0037120;7.4;;;
The Night Digger;0067486;6.3;;;
Fair Lady;0013110;;;;
Yellow Sky;0040978;7.6;5600000;;
Never Cry Wolf;0086005;7.6;29600000;;
Die unendliche Geschichte;0088323;7.4;100000000;27000000;73000000
The Life and Adventures of Nicholas Nickleby;0253312;7.7;;;
Hemingway's Adventures of a Young Man;0056063;6.5;;;
Night and the City;0042788;8.0;;;
Night Has a Thousand Eyes;0040643;7.1;;;
The Night of the Generals;0062038;7.4;;;
The Night of the Hunter;0048424;8.1;;795000;
The Night of the Iguana;0058404;7.8;12000000;3000000;9000000
L'homme que j'aime;0173906;7.4;;;
Night Watch (2004);;;;;
Nightmare;0049553;6.4;;;
Nightmare Alley;0039661;7.8;;;
Nights in Rodanthe;0956038;6.0;41840908;;
Nightwing;0079631;4.6;;;
Nine 1/2 Weeks;0091635;5.9;6734844;17000000;-10265156
Nineteen Eighty-Four;0087803;7.2;;;
The Ninth Configuration;0081237;7.2;;;
No Country for Old Men;0477348;8.1;171627166;25000000;146627166
No Down Payment;0050771;7.3;;;
The Grissom Gang;0067162;6.9;;;
No se lo Digas a Nadie;;;;;
The Ultimate Warrior;0073835;5.8;;;
Tashunga;;;;;
The Golden Compass (2007);;;;;
