100 Rifles,,
101 Reykjavik,,
Salo,,
"Murder, She Said",Le crime est notre affaire,,
48 Shades,,
491,,
50 Ways of Saying Fabulous,,
The Ambassador,52 Pick-Up,,
633 Squadron,,
The Alphabet Murders,The A.B.C. Murders,,
The Accidental Tourist,,
Across 110th Street,,
Adam Resurrected,,
Paper Moon,,
Green Tea,,
Adolphe,,
The Adventurers,,
Alatriste,,
The Adventures of Hajji Baba,,
Huck and Tom,Huckleberry Finn,Huckleberry Finn,Huck Finn,The Adventures of Huckleberry Finn,The Adventures of Huckleberry Finn,The Adventures of Huckleberry Finn,Huckleberry Finn,Hopelessly Lost,Huckleberry Finn,The Adventures of Huckleberry Finn,Adventures of Huckleberry Finn,The Adventures of Mark Twain,Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn,The Adventures of Huck Finn,Tom and Huck,Tomato Sawyer and Huckleberry Larry's Big River Rescue,,
The Adventures of Pinocchio,Pinocchio,Pinocchio,The Adventures of Buratino,Pinocchio in Outer Space,Pinocchio,Pinocchio,The Adventures of Buratino,Pinocchio,The Adventures of Pinocchio,Pinocchio and the Emperor of the Night,964 Pinocchio,Pinocchio,Pinocchio's Revenge,The Adventures of Pinocchio,Geppetto,A.I. Artificial Intelligence,A Tree of Palme,Pinocchio,Pinocchio 3000,Pinocchio,Pistachio - The Little Boy That Woodn't,,
Adventures of Sherlock Holmes," or, Held for Ransom",The Adventures of Sherlock Holmes,The Adventures of Sherlock Holmes,The Adventures of Sherlock Holmes and Dr. Watson,Sheerluck Holmes and the Golden Ruler,,
Tom Sawyer,Tom Sawyer,Huck and Tom,Tom Sawyer,Huckleberry Finn,The Adventures of Tom Sawyer,Tom Sawyer,The Adventures of Mark Twain,Tom Sawyer,Huckleberry Finn,Tom Sawyer,Huckleberry Finn,Tom Sawyer,The Adventures of Mark Twain,Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn,Tom and Huck,Tom Sawyer,,
Advise and Consent,,
Aelita,,
The African Queen,,
"After Dark, My Sweet",,
Carlito's Way 1993,,
Murder at the Gallop,,
Goodbye Again,Jahan Tum Le Chalo,,
Airborn,,
Alice Adams,Alice Adams,,
Allan Quatermain and the Lost City of Gold,,
All Fall Down,,
All the Rivers Run,,
Hanyut,Almayer's Folly,,
Altered States,,
Always Another Dawn,,
Always Outnumbered,,
An American Dream,,
Americanese,,
American Splendor,,
A Place in the Sun,,
The Americanization of Emily,,
Intervista,Amerika,,
El Amor infiel,,
The Young Rajah,,
Amu,,
Anatomy of a Murder,,
And Now Tomorrow,,
The Anderson Tapes,,
The Andromeda Nebula,,
Angel 2007,,
Angel Square,,
Angels and Demons,,
Anglo-Saxon Attitudes,,
The Angry Hills,,
The Goalkeeper's Fear of the Penalty,,
Animal Farm,Animal Farm,,
Anna to the Infinite Power,,
Anne of Avonlea,Anne of Avonlea,,
Anne of Green Gables,Anne of Green Gables,Anne of Windy Poplars,Anne of Green Gables,Anne of Green Gables,Anne of Avonlea,Anne of Green Gables,Anne of Avonlea,Anne of Green Gables: The Continuing Story,Anne of Green Gables: A New Beginning,,
The Year of the Jellyfish,,
Masada,,
Anthony Adverse,,
Antikiller,,
Antonieta,,
Duel at Diablo,,
Apartment for Peggy,,
The Apocalypse Watch,,
The Apple Dumpling Gang,The Apple Dumpling Gang Rides Again,Tales from the Apple Dumpling Gang,,
Appointment with Death,,
Appointment with Venus,,
The Apprenticeship of Duddy Kravitz,,
Buck Rogers,Buck Rogers in the 25th Century,,
The Army of Shadows,,
The Man from Dakota,,
Arrowsmith 1931,,
El Asalto,,
Elevator to the Gallows,,
Ask the Dust,,
The Asphalt Jungle,The Badlanders,,
The Assassination Bureau,,
Gervaise,,
Assunta Spina,Assunta Spina,Assunta Spina,Assunta Spina,,
First Spaceship on Venus,,
Asylum 2005,,
Atlantis,,
Audrey Rose,,
The Auction Block,The Auction Block,,
Avalon High,,
The Aviator 1985,,
Away All Boats,,
Le Couperet,,
Ayat-Ayat Cinta,,
Baby Love,,
Back Street,Back Street,Back Street,,
Back When We Were Grownups,,
Background to Danger,,
Bad Girl 1931,,
The Bad Seed,The Bad Seed,The Bad Seed,,
Baise-moi,,
The Bait,,
Cat Ballou,,
The Flim-Flam Man,,
Balzac and the Little Chinese Seamstress,,
Band of Angels,,
Bank Shot,,
Third Man on the Mountain,,
The Barefoot Mailman,,
Bastard Out of Carolina,,
Battle Cry,,
The Battle of the Villa Fiorita,,
Battle Royale,Battle Royale II: Requiem,,
A Patch of Blue,,
The Beach,,
Beaches,,
The Young Warriors,,
La Bestia debe morir,The Beast Must Die,,
The Beast Within,,
Beat the Devil,,
Beau Brocade,,
Beau Geste,Beau Hunks,Beau Geste,Beau Geste,Follow That Camel,The Last Remake of Beau Geste,Beau Geste,,
Bedelia,,
The Public Enemy,,
Behind That Curtain,,
Being There,,
Bel Ami,The Private Affairs of Bel Ami,Bel Ami,Bel Ami,,
Belle de Jour,,
Belli Moda,,
Bellman and True,The Real McCoy,,
"Belphegor, Phantom of the Louvre",,
Son of Fury: The Story of Benjamin Blake,Treasure of the Golden Condor,,
Gasoline,,
Berlin - Alexanderplatz,Berlin Alexanderplatz,,
La bestia nel cuore,,
Die Bestie im Menschen,La Bete Humaine,Human Desire,La Bestia humana,Cruel Train,,
The Betsy,,
Beyond the Forest,,
Beyond This Place,Beyond This Place,Kala Pani,Web of Evidence,Poola Rangadu,,
The BFG,,
Somewhere in Time,,
Bidaya wa Nihaya,,
The Big Clock,No Way Out,,
The Big Fisherman,,
The Big Heat,,
Big Red,,
Biggles: Adventures in Time,It Couldn't Happen Here,,
Billion Dollar Brain,,
Billy Liar,,
Birdy,,
The Bishop's Wife,,
Biruma no tategoto,Biruma no tatekoto,,
The Biscuit Eater,The Biscuit Eater,,
The Bitch,,
The Bitter Tea of General Yen,,
The Leopard Man,,
Black Angel,,
The Black Arrow,The Black Arrow,The Black Arrow,Black Arrow,Chyornaya strela,The Black Arrow,,
Black Beauty,Black Beauty,Black Beauty,Courage of Black Beauty,Black Beauty,Black Beauty,Black Beauty,Black Beauty,,
The Black Camel,,
Street of Chance,,
Black Narcissus,,
The Chase,,
The Black Rose,,
Black Sunday,,
Blackboard Jungle,,
Blackbeard's Ghost,,
The Reckless Moment,The Deep End,,
Blaze of Noon,,
Bleak House,Bleak House,Bleak House,Bleak House,Bleak House,Bleak House,,
Bless the Beasts and Children,,
Count Your Blessings,,
Blood and Chocolate,,
The Blood Oranges,,
Blue Fin,,
Blueprint,,
Invasion of the Body Snatchers,Invasion of the Body Snatchers,Body Snatchers,The Invasion,Invasion of the Pod People,,
Bombaiyer Bombete,,
Bonjour Tristesse,,
Boogiepop and Others,,
Daniel,,
Man of the West,,
The Border Legion,The Last Round-Up,,
Bordertown,,
The Borrowers,The Borrowers,The Borrower Arrietty,,
The Bostonians,,
Boy on a Dolphin,,
The Bravados,,
The Brave Bulls,,
Lonely Are the Brave,,
The Brave Little Toaster,The Brave Little Toaster Goes to Mars,The Brave Little Toaster to the Rescue,,
Brave New World,Brave New World,Brave New World,,
Breakfast on Pluto,,
Breakfast with Scot,,
Breakheart Pass,,
Smith!,,
The Bridges at Toko-Ri,,
Brighton Rock,Brighton Rock,,
Elling,Mors Elling,Elsk meg i morgen,,
Behind the Sun,,
Brothers in Law,,
The Brothers Karamazov,The Brothers Karamazov,,
Brown's Requiem,,
Mister Buddwing,,
Buffalo Girls,,
Bump in the Night,,
Burglar,,
Don Juan 1926,,
The Burning Hills,,
,
Mountains of the Moon,,
The Busy Body,,
Gentlemen Marry Brunettes,,
The Adventures of Bullwhip Griffin,,
The Caine Mutiny,The Caine Mutiny Court-Martial,The Caine Mutiny Court-Martial,,
Cal,,
The Deadly Affair,,
Decision Before Dawn,,
The Call of the Wild,The Call of the Wild,"What a Nightmare, Charlie Brown!",The Call of the Wild,The Call of the Wild: Dog of the Yukon,Call of the Wild,Disney's The Call of the Wild,,
Candy,,
Canterbury Tales,,
Canyon Passage,,
Captain Blood,Captain Blood,Fortunes of Captain Blood,Captain Pirate,The Son of Captain Blood,Odyssey of Captain Blood,,
A Captive in the Land,,
The Tall T,,
"Herbie, the Love Bug",The Love Bug,Herbie Rides Again,Herbie Goes to Monte Carlo,Herbie Goes Bananas,The Love Bug,Herbie: Fully Loaded,,
The Card,,
"Careful, He Might Hear You",,
The Carpetbaggers,Nevada Smith,Nevada Smith Tv,,
The Carey Treatment,,
"The French, They Are a Funny Race",,
Down Three Dark Streets,,
Cash McCall,,
Cat Chaser,,
The Cat Who Walked by Herself,,
Catlow,,
The Caveman's Valentine,,
Les cerfs-volants,,
Les Diaboliques,Diabolique,,
The Cement Garden,,
Centennial,,
Vers le Sud,,
La HabitaciÃ³n azul,,
Champagne,,
The Chancellor Manuscript,,
Everlasting Regret,,
Charlie Chan Carries On,Charlie Chan's Murder Cruise,,
Charlie Muffin,,
Charlotte Gray,,
Charlotte's Web,Charlotte's Web 2: Wilbur's Great Adventure,Charlotte's Web,,
Snowball Express,,
The Cheetah Girls,The Cheetah Girls,The Cheetah Girls 2,The Cheetah Girls: One World,,
The Damned,,
The Crash,,
The Children of Sanchez,,
"Westward Ho, the Wagons!",,
China Seas,,
The Chinese Parrot,,
The Chocolate War,,
Candleshoe,,
Singles,,
Kelly and Dolly: A Christmas to Remember,,
Christmas Holiday,,
The Christmas Shoes,The Christmas Blessing,The Christmas Hope,,
Christopher Strong,,
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","The Lion, the Witch and the Wardrobe",
The Silver Chair 1990,
The Chronicles of Narnia: The Magician's Nephew,
The Cincinnati Kid,,
Cinderella Liberty,,
Flight of the Lost Balloon,Five Weeks in a Balloon,,
7 Faces of Dr. Lao,,
The Citadel,,
Clair de femme,,
The Birth of a Nation,The Fall of a Nation,,
Class Reunion,,
The Killing,,
Cockfighter,,
Cocoon,Cocoon: The Return,,
Code of the West,Code of the West,,
Three Coins in the Fountain,The Pleasure Seekers,Coins in the Fountain,,
The Man Who Understood Women,,
Colossus: The Forbin Project,,
The Comfort of Strangers,,
Like Water for Chocolate,,
Compulsion,,
Winstanley,,
Bolshevism on Trial,,
The Constant Nymph,The Constant Nymph,The Constant Nymph,,
The Comedians,,
Conagher,,
Arsene Lupin,,
Confessions d'un Barjo,,
A Connecticut Yankee in King Arthur's Court,A Connecticut Yankee,A Connecticut Yankee,Un espanol en la corte del rey Arturo,A Connecticut Rabbit in King Arthur's Court,Unidentified Flying Oddball,Novye priklyucheniya yanki pri dvore korolya Artura,A Kid in King Arthur's Court,A Kid in Aladdin's Palace,A Young Connecticut Yankee in King Arthur's Court,A Knight in Camelot,Black Knight,,
The Constant Gardener,,
Cops and Robbers,,
Corazon salvaje,Juan del Diablo,Corazon salvaje,,
Coroner Creek,,
Earth,,
Creator,,
Crossfire Trail,,
The Cruel Sea,,
Cutter's Way,,
The Six Million Dollar Man,,
Arabesque,,
Damage (1992),,
The Dancer Upstairs,,
A Dandy in Aspic (1968),
Daniel Deronda,Daniel Deronda,Daniel Deronda,,
"Danny, the Champion of the World",,
Darby O'Gill and the Little People,,
Limitless (2011),,
The Seeker: The Dark is Rising,,
Dark of the Sun (1968),,
Dark Passage,,
David Copperfield,David Copperfield,David Copperfield,David Copperfield,,,David Copperfield,David Copperfield,David Copperfield,David Copperfield,David Copperfield,David Copperfield,,
The Day of the Jackal,August 1 (1988),The Jackal (1997),,
The Day of the Locust,,
The Day of the Triffids,The Day of the Triffids,,
When Time Ran Out (1980),,
The Day They Robbed the Bank of England,,
The Sacketts (1979),,
Dead Calm,,
Deadline at Dawn,,
The Deadly Duo,,
Australian Rules (2002),,
Dealing: Or the Berkeley-to-Boston Forty-Brick Lost-Bag Blues (1972),,
Dear John,,
The End of the River (1947),,
Death on the Nile,Death on the Nile,,
Death Sentence (2007),,
The Deceivers (1988),,
Deluge,,
The Deluge,,
Demon Seed,,
Derailed,,
Desert Fury,,
Desert Gold (1919),Desert Gold (1926),Desert Gold (1936),,
Gold of the Seven Saints (1961),,
The Desperate Hours (1955),Desperate Hours (1990),36 Ghante,,
Destry Rides Again,,
The Detective (1968),,
Detective (2005),,
The Devil Rides Out,,
Des Teufels Advokat (1977),,
The Witches (1966),,
The Possessed (1969),La femme publique,,
The Devils (1971),,
Devil in the Flesh (1947),Devil in the Flesh (1986),Devil in the Flesh (1998),,
The Kingfisher Caper,,
The Glory Guys,,
The Dirty Dozen,,
Dirty Weekend,,
Disappearing Acts (2000),,
Scream and Scream Again,,
A Distant Trumpet,,
Le Divorce (2003),,
Doctor in the House,,
Half Moon Street,,
Dodsworth,,
The Dogs of War,,
Who'll Stop the Rain,,
Adventures of the Ingenious Hidalgo Don Quixote,Don Quijote,Don Quichotte,Don Quixote,Don Quixote,Don Quixote,Don Quixote,Don Quichotte,Don Quichotte,Don Quixote,Don Quixote de la Mancha,Don Quixote,Don Quixote,Don Quixote's Children,Don Chisciotte e Sancho Panza,Man of La Mancha,The Adventures of Don Quixote,The Amorous Adventures of Don Quixote and Sancho Panza,Don Chisciotte,Don Quixote of La Mancha,Don Quijote de Orson Welles,Don Quixote,"Don Quixote, Knight Errant",Don Quixote,The Man Who Killed Don Quixote,,
The Lady and the Monster,Donovan's Brain,The Brain (1962),,
Gas Food Lodging,,
Frankie Starlight,,
Double Indemnity,,
Down Will Come Baby,,
The Flight of Dragons,,
Dragon Seed,,
Dragonlance: Dragons of Autumn Twilight,,
The Reluctant Dragon,,
Dreamscape,,
Drift Fence,,
Drood,,
The Drowning Pool,,
Drums Along the Mohawk,,
The Drums of Jeopardy,The Drums of Jeopardy,,
The Dude Ranger,,
Duel in the Sun,,
Dune,Frank Herbert's Dune,Frank Herbert's Children of Dune,Dune,,
Elegy,,
Dying Young,,
The Eagle Has Landed,,
The Eagle (2011),,
East of Eden,,
Eddie and the Cruisers,,
The Egyptian (1954),,
The Seventh Scroll,,
Elles n'oublient jamais,,
Ellis Island (1984),,
Emma,Clueless,Emma,Emma,Emma,Aisha,,
Emil and the Detectives,Emil and the Detectives,Emil and the Detectives,Emil and the Detectives,Emil and the Detectives,,
Emotional Arithmetic,,
Enchanted April,Enchanted April,,
Wake Up and Dream,,
Enduring Love,,
Enemies of Women,,
The Enemy Below,,
Enigma (2001),,
The Entity (1981),,
Escape (1940),,
Escape to Witch Mountain,Return from Witch Mountain,Beyond Witch Mountain,Escape to Witch Mountain,Race to Witch Mountain,,
The Evening Star,,
Everybody's All-American,,
The Yellow Canary,,
Evil Under the Sun,Evil Under the Sun,,
Executive Suite,,
Exit To Eden,,
Experiment Perilous,,
Extension du domaine de la lutte,,
Extremely Loud and Incredibly Close,,
Deadly Circuit,Eye of the Beholder,,
Eye of the Needle,Fanaa,,
Fahrenheit 451,Fahrenheit 451,,
Fail-Safe,Fail-Safe,,
The Angel Wore Red,,
The Fall of a Nation,,
False Witness,,
"The One and Only, Genuine, Original Family Band",,
Family Business,,
The Fan (1981),,
Far from the Madding Crowd,Far from the Madding Crowd,Far from the Madding Crowd,Far from the Madding Crowd,,
Farewell My Concubine,,
Face Is the Hunter,,
Das Wunder des Malachias,,
Father of the Bride,Father's Little Dividend,Father of the Bride,Father of the Bride Part II,,
La Femme et le Pantin,The Devil Is a Woman,La Femme et le Pantin,That Obscure Object of Desire,,
Femmes de personne,,
The Fire Within,"Oslo, August 31st",,
The Raging Tide,,
Fighting Caravans,Wagon Wheels,,
The Final Programme,,
Fire on the Mountain,,
Schmetterlinge,"First Love, Last Rites",Solid Geometry,Butterflies,,
A Trip to the Moon,The First Men in the Moon,First Men in the Moon,The First Men in the Moon,The First Men in the Moon 3D,,
The Five People You Meet in Heaven,,
The Fixer,,
Flaming Youth,,
Flashpoint,,
Fletch,Fletch Lives,,
Fletch Won,,
The Flight of the Phoenix,Flight of the Phoenix,,
Flowers in the Attic,,
Flowing Gold,,
Focus (2001),,
Village of the Giants,The Food of the Gods,Food of the Gods II,,
Escape Me Never,Escape Me Never,,
Forbidden Territory,,
The Forever War,,
Forlorn River,,
The Formula (1980),,
That Forsyte Woman,The Forsyte Saga,,
The Fountainhead,,
Four Feathers,The Four Feathers,The Four Feathers,The Four Feathers,Storm Over the Nile,The Four Feathers,The Four Feathers,,
The Fourth Protocol,,
F.P.1 antwortet nicht,F.P.1 Doesn't Respond,F.P.1 ne repond pas,,
The Adventures of Frank Merriwell,,
Frau im Mond,,
The French Lieutenant's Woman,,
Deadly Friend,,
A Trip to the Moon,From the Earth to the Moon,The Fabulous Baron Munchausen,Jules Verne's Rocket to the Moon,From the Earth to the Moon,,
From the Terrace,,
Funeral in Berlin,,
The Furies (1950),,
The Fuzzy Pink Nightgown,,
G@me,,
Condorman,,
The Garden of Allah,The Garden of Allah,The Garden of Allah,,
Gardens of Stone,,
The Gay Sisters,,
Gentle Annie,,
Gentlemen Prefer Blondes,Gentlemen Prefer Blondes,,
Geordie,,
Georgy Girl,,
The Ghost Writer (2010),,
The Ghost and Mrs. Muir,,
Gidget,,
Gigi,Gigi,,
The Girl from Petrovka,,
The Girl Who Leapt Through Time,The Girl Who Leapt Through Time,Morning Musume: Shinshun! Love Stories,The Girl Who Leapt Through Time,Time Traveller: The Girl Who Leapt Through Time,,
Girl with a Pearl Earring (2003),,
Suburban Girl,The Girls' Guide to Hunting and Fishing,,
Glitz (1988),,
The Best Years of Our Lives,,
Gnomes (1980),,
The Gnome-Mobile,,
The Go-Between,,
"Follow Me, Boys!",,
They Came from Beyond Space,,
God's Little Acre,,
Gold Coast,
Gold (1974),,
Charley and the Angel,,
The Adventures of Buratino,The Adventures of Buratino,,
The Good Earth (1937),,
A Good Year (2006),,
"Goodbye, Mr. Chips","Goodbye, Mr. Chips","Goodbye, Mr. Chips","Goodbye, Mr. Chips",,
Gorky Park,,
Grand Canary,,
The Grapes of Wrath,,
The Great Bank Robbery,,
One of Our Dinosaurs Is Missing,,
Great Expectations,Great Expectations,Great Expectations,Great Expectations,Great Expectations,Great Expectations,Great Expectations,Great Expectations,Great Expectations,Great Expectations,Great Expectations,Great Expectations,,
The Great Man (1956),,
The Great Santini,,
The Indians are Coming,Rustlers of Red Dog,,
Green for Danger,,
Green Mansions,,
The Green Years,,
The Greengage Summer,,
Grendel Grendel Grendel,,
The Grifters,,
L'Ours,,
The Grotesque (1995),,
The Group (1966),,
Gruesome School Trip,,
War of the Buttons,War of the Buttons,,
Les faussaires (2007),,
The New Gulliver,Gulliver's Travels,The Three Worlds of Gulliver,Gulliver's Travels Beyond the Moon,Gulliver's Travels,Gulliver's Travels,Gulliver's Travels,,
Guns of the Timberland,,
The Gypsy Moths (1969),,
"H.M. Pulham, Esq.",,
Hababam Sınıfı,,
WUSA,,
"The Long, Hot Summer",,
Hammers Over the Anvil,,
The Handmaid's Tale,,
Hannibal (2001),,
Happy Land (1943),,
Al Haram (1965),,
The Harder They Fall,,
Harry Black,,
Harry Potter,
Harry Potter and the Deathly Hallows Part 1,Harry Potter and the Deathly Hallows Part 2,,
The Return of Vasili Bortnikov,,
The Harvey Girls,,
Hating Alison Ashley,,
Hatter's Castle,,
Haunted Harbor (1944),,
Hawk of the Wilderness,,
He Ran All the Way,,
Header (2006),,
Monte Carlo (2011),,
The Heart of the Matter,The Heart of the Matter,,
Story of the Sword and the Sabre,Heaven Sword and Dragon Sabre,The Hidden Power of the Dragon Sabre,Kung Fu Cult Master,,
Heidi,Heidi,Heidi and Peter,Heidi,Heidi,The Story of Heidi,Heidi's Song,Heidi,Heidi,Heidi,Nelvana,Heidi,Paul Marcus,Heidi 4 Paws,,
The Legend of Hell House,,
Heller in Pink Tights,,
The Help (2011),,
Heritage of the Desert,Heritage of the Desert,Heritage of the Desert,,
The High and the Mighty (1954),,
The History of Mr. Polly,,
Tom Jones,Tom Jones,The Bawdy Adventures of Tom Jones,Tom Jones,"The History of Tom Jones, a Foundling",,
The Holcroft Covenant,,
The Dreamers,,
Hombre (1967),,
Ghare Baire,,
Hopalong Cassidy,,
Horrid Henry: The Movie,,
Hud,,
The Host (2013),,
The Hot Rock,,
The Hound of the Baskervilles,The Hound of the Baskervilles,The Hound of the Baskervilles,The Hound of the Baskervilles,The Hound of the Baskervilles,Bees Saal Baad,The Hound of the Baskervilles,The Hound of the Baskervilles,The Hound of the Baskervilles,The Hound of the Baskervilles,,
The Shaggy Dog,The Shaggy D.A.,The Return of the Shaggy Dog,The Shaggy Dog,The Shaggy Dog,,
The Hour Before the Dawn,,
The Hours (2002),,
Howards End,,
Esmeralda,The Hunchback of Notre Dame,The Darling of Paris,Esmeralda,The Hunchback of Notre Dame,The Hunchback of Notre Dame,The Hunchback of Notre Dame,The Hunchback of Notre Dame,Kubra Aashiq,The Hunchback of Notre Dame,The Hunchback of Notre Dame,The Hunchback of Notre Dame,The Hunchback of Notre Dame,The Hunchback of Notre Dame II,The Hunchback,Quasimodo d'El Paris,,
Catching Fire,,
Mockingjay,,
Point Blank (1967),Payback (1999),Full Contact (2003),,
The Hustler (1961),,
The Last Man on Earth,The Omega Man,I Am Legend,,
Ice Station Zebra,,
The Ipcress File,,
The Illustrated Man,,
Imagining Argentina,,
Cynara,,
The Incredible Journey,Homeward Bound: The Incredible Journey,Homeward Bound II: Lost in San Francisco,,
The Incubus (1981),,
A Man Called Horse,The Return of a Man Called Horse,Triumphs of a Man Called Horse,,
The Innocent (1993),,
In Search of the Castaways,V poiskakh kapitana Granta,,
My Reputation,,
Kojak: The Price of Justice,,
The Invisible Man,The Invisible Man Returns,The Invisible Woman,Invisible Agent,The Invisible Man's Revenge,Abbott and Costello Meet the Invisible Man,,
In the Heat of the Night,They Call Me MISTER Tibbs!,The Organization,,
In This House of Brede,,
The Iron Trail,,
Island in the Sky,,
Island of Lost Souls,Terror Is a Man,The Island of Doctor Agor,The Island of Dr. Moreau,The Island of Dr. Moreau,,
Islands in the Stream,,
It (1990),It (2011),,
Shadow of the Land,,
Book of Love (1990),,
Get Carter,Hit Man,Get Carter,,
Jane Eyre,The Castle of Thornfield,Woman and Wife,Jane Eyre,Orphan of Lowood,Jane Eyre,I Walked with a Zombie,Jane Eyre,Sangdil,The Orphan Girl,El Secreto,Jane Eyre,Shanti Nilayam,Ardiente Secreto,Jane Eyre,Jane Eyre,,
Jassy,,
La femme du boulanger,,
The Curse of the Mummy,Blood from the Mummy's Tomb,The Awakening,Bram Stoker's Legend of the Mummy,,
Pocket Money,,
Jimmy the Kid (1982),Jimmy the Kid (1999),,
Johnny Tremain,,
Josepha,,
Diary of a Country Priest,,
Treasure of Matecumbe,,
Journey to Shiloh,,
Havoc in Heaven,Monkey Goes West,Princess Iron Fan,The Cave of the Silken Web,The Land of Many Perfumes,A Chinese Odyssey,Heavenly Legend,A Chinese Tall Story,The Fire Ball,The Adventures of Super Monkey,The Forbidden Kingdom,The Monkey King,Journey to the West,,
Jude the Obscure,Jude,,
Elephant Boy,Jungle Book,The Jungle Book,The Jungle Book 2,Adventures of Mowgli,The Jungle Book,Jungle Book: Mowgli's Story,Mowgli: The New Adventures of the Jungle Book,,
Shining Victory,Ich suche Dich,,
The Jungle (1914),,
Justine (1969),,
Atragon,Super Atragon,,
Pale Moon,,
Fighting Elegy,,
The Keys of the Kingdom,,
Ai-Fak,,
Kidnapped,Kidnapped,Kidnapped,Kidnapped,,
Allan Quatermain,King Solomon's Mines,King Solomon's Mines,Watusi,King Solomon's Treasure,King Solomon's Mines,Allan Quatermain and the Lost City of Gold,King Solomon's Mines,The League of Extraordinary Gentlemen,King Solomon's Mines,Allan Quatermain and the Temple of Skulls,,
High and Low,,
Kings Go Forth,,
Kings Row,,
Kipps,Kipps,Kipps,Half a Sixpence,,
The Kirishima Thing,,
Kiss of the Spider Woman,,
Kiss Tomorrow Goodbye,,
The Klansman (1974),,
The Night Stalker,The Night Strangler,Crackle of Death,The Demon and the Mummy,,
Chinese Box,,
"Lad, A Dog",,
Lady Audley's Secret,Lady Audley's Secret,Lady Audley's Secret,Lady Audley's Secret,,
Lady L,,
Cordelia,,
The Land That Time Forgot,The People That Time Forgot,The Land That Time Forgot,,
Lassie,Lassie Come Home,Son of Lassie,Courage of Lassie,Hills of Home,The Sun Comes Up,Challenge to Lassie,The Painted Hills,Lassie's Great Adventure,The Magic of Lassie,Lassie,Lassie,,
The Last Days of Pompeii,The Last Days of Pompeii,The Last Days of Pompeii,The Last Days of Pompeii,The Last Days of Pompeii,The Last Days of Pompeii,The Last Days of Pompeii,,
The Last Detail,,
The Last Hunt,,
The Last of the Duanes,The Last of the Duanes,The Last of the Duanes,Last of the Duanes,,
The Missing,,
Apache Territory,,
Last Stand at Saber River,,
The Last Unicorn (1982),,
The Late George Apley,,
Layer Cake,,
Laura,Laura,Laura,,
Law and Order,,
Border Shootout,,
The Quiet Gun,,
Lawyer Man,,
Lovin' Molly,,
Get Christie Love!,,
Left Behind,Left Behind: The Movie,Left Behind II: Tribulation Force,Left Behind: World at War,,
The Exorcist III,,
Lemonade Mouth,Lemonade Mouth 2,,
The Leopard (1963),,
Less Than Zero,,
A Letter to Three Wives,,
How Do I Love Thee?,,
Madame Rosa,The Life Before Us,,
Life of Pi (film),,
A Lion Is in the Streets,,
Little Dorrit,Little Dorrit,Klein Dorrit,Little Dorrit,Little Dorrit,,
The Hand (1981),,
Eine Liebe in Deutschland,,
A Cock and Bull Story,,
The Light in the Forest,,
The Light of the Western Stars,The Light of Western Stars,The Light of Western Stars,The Light of Western Stars,,
The Work and the Glory: American Zion,,
Little Caesar,Black Caesar,Hell Up in Harlem,,
The Little Drummer Girl,,
The Secret of Moonacre,,
