Book;Movie
The 25th Hour;25th Hour
2010: Odyssey Two;2010
42nd Street;42nd Street
50 Shades of Grey;Fifty Shades of Grey
58 Minutes;Die Hard 2
About a Boy;About a Boy
About Schmidt;About Schmidt
Absolute Power;Absolute Power
The Adventures of Pinocchio;Pinocchio
The Adventures of Sherlock Holmes;Sherlock Holmes
After Hours 1979;Carlito's Way
The Age of Innocence;The Age of Innocence
The Agony and the Ecstasy;The Agony and the Ecstasy
Air America 1985;Air America
Airport;Airport
All the Brothers Were Valiant;Across to Singapore
All the King's Men;All the King's Men
All the Pretty Horses;All the Pretty Horses
All the Way;Sex Drive
All You Need Is Kill;Edge of Tomorrow
Along Came a Spider;Along Came a Spider
American Psycho;American Psycho
The Amityville Horror;The Amityville Horror
The Andromeda Strain;The Andromeda Strain
Angel 1957 Elizabeth Taylor;Angel
Angel Square;Angel Square
Anna and the King of Siam;The King and I
Anna Karenina;Amour
The Anointed;Adventure
Asking for Trouble;The Wedding Date
The Assassination of Jesse James by the Coward Robert Ford;The Assassination of Jesse James by the Coward Robert Ford
At Play in the Fields of the Lord;At Play in the Fields of the Lord
At the Earth's Core;Journey to the Center of the Earth
Atonement;Atonement
Auntie Mame;Auntie Mame
The Aviator;The Aviator
An Awfully Big Adventure;An Awfully Big Adventure
Babylon Babies;Babylon A.D.
Basil of Baker Street;The Great Mouse Detective
Battlefield Earth;Battlefield Earth
Be Cool;Be Cool
"Be Still, My Love";The Accused
The Beast Master;The Beastmaster
Beautiful Creatures;Beautiful Creatures
Bee Season;Bee Season
Before the Fact;Suspicion
Beloved;Beloved
Ben-Hur: A Tale of the Christ;Ben-Hur
Beowulf;Beowulf
Bhowani Junction;Bhowani Junction
The Big Bounce;The Big Bounce
Big Fish: A Novel of Mythic Proportions;Big Fish
The Big Sleep;The Big Lebowski
Big Trouble;Big Trouble
Billy Bathgate;Billy Bathgate
Bitter Moon;Bitter Moon
The Black Dahlia;The Black Dahlia
The Black Stallion;The Black Stallion
Bless the Child;Bless the Child
Blood Brother;Broken Arrow
Blood on the Moon;Cop
Blood Work;Blood Work
The Blue Lagoon;The Blue Lagoon
The Body;Stand by Me
The Body Snatchers;The Invasion
The Bonfire of the Vanities;The Bonfire of the Vanities
Das Boot;Das Boot
The Bourne Identity;The Bourne Identity
The Bourne Supremacy;The Bourne Supremacy
The Bourne Ultimatum;The Bourne Ultimatum
The Bourne Legacy;The Bourne Legacy
The Boy in the Striped Pyjamas;The Boy in the Striped Pyjamas
The Boys from Brazil;The Boys from Brazil
Breakfast of Champions;Breakfast of Champions
The Bride Wore Black;La mariée était en noir
"Brideshead Revisited, The Sacred and Profane Memories of Captain Charles Ryder";Brideshead Revisited
The Bridge of San Luis Rey;The Bridge of San Luis Rey
Bridge to Terabithia;Bridge to Terabithia
The Bridges of Madison County;The Bridges of Madison County
Bridget Jones;Bridget Jones's Diary
"Bright Lights, Big City";"Bright Lights, Big City"
Bringing Out the Dead;Bringing Out the Dead
Buffalo Soldiers;Buffalo Soldiers
BUtterfield 8;BUtterfield 8
Carlito's Way;Carlito's Way
The House of the Spirits;The House of the Spirits
Casino Royale;Casino Royale
The Castle;The Last Castle
Catch-22;Catch-22
A Certain Mr. Takahashi;The Pianist
The Chamber;The Chamber
Charlie and the Chocolate Factory;Willy Wonka & the Chocolate Factory
The Children of Men;Children of Men
Chocolat;Chocolat
Christine;Christine
"The Lion, the Witch and the Wardrobe";"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
Prince Caspian;The Chronicles of Narnia: Prince Caspian
The Voyage of the Dawn Treader;The Chronicles of Narnia: The Voyage of the Dawn Treader
The Chronicles of Prydain;The Black Cauldron
The Cider House Rules;The Cider House Rules
Cimarron;Cimarron
Cirque Du Freak: The Saga of Darren Shan;Cirque du Freak: The Vampire's Assistant
The City of Ember;City of Ember
City of God;Cidade de Deus
The Clan of the Cave Bear;The Clan of the Cave Bear
Clear and Present Danger;Clear and Present Danger
The Client;The Client
Clockers;Clockers
A Clockwork Orange;A Clockwork Orange
El Club Dumas;The Ninth Gate
Cold Mountain;Cold Mountain
The Color of Money;The Color of Money
The Color Purple;The Color Purple
Cool Hand Luke;Cool Hand Luke
The Count of Monte Cristo;The Count of Monte Cristo
Congo;Congo
Contact;Contact
Cool Hand Luke;Cool Hand Luke
Corazon salvaje;Wild at Heart
The Cowboys;The Cowboys
Crash;Crash
O Crime do Padre Amaro;El crimen del Padre Amaro
"Crouching Tiger, Hidden Dragon";Wo hu cang long
Cry Wolf;Cry_Wolf
Cycle of the Werewolf;Skyfall
The Da Vinci Code;The Da Vinci Code
Dad (William Wharton);Dad
Damnation Alley;Damnation Alley
The Damned Utd;The Damned United
Dances with Wolves (Michael Blake);Dances with Wolves
The Dangerous Lives of Altar Boys (Chris Fuhrman);The Dangerous Lives of Altar Boys
The Dark Is Rising Sequence;The Seeker: The Dark Is Rising
The Day the World Ended (Gordon Thomas);When Time Ran Out...
The Dead Zone;The Dead Zone
Dear John;Dear John
Death Sentence (Brian Garfield);Death Sentence
Death Wish (Brian Garfield);Death Wish
December Boys (Michael Noonan);December Boys
The Deep (Peter Benchley);The Deep
The Deep End of the Ocean (Jacquelyn Mitchard);The Deep End of the Ocean
Deliverance (James Dickey);Deliverance
D'entre les morts (Pierre Boileau and Thomas Narcejac);Vertigo
Desert of the Heart (Jane Rule);Desert Hearts
The Devil Wears Prada (Lauren Weisberger);The Devil Wears Prada
The Devil's Advocate (Andrew Neiderman);The Devil's Advocate
Diamonds Are Forever (Ian Fleming);Diamonds Are Forever
Disclosure (Michael Crichton);Disclosure
Divine Secrets of the Ya-Ya Sisterhood (Rebecca Wells);Divine Secrets of the Ya-Ya Sisterhood
Do Androids Dream of Electric Sheep? (Philip K. Dick);Blade Runner
Doctor Zhivago;Doctor Zhivago
Don't Say a Word;Don't Say a Word
The Double Take;I Love Trouble
Dracula (Bram Stoker);Dracula
Dreamcatcher;Dreamcatcher
Dr. No;Dr. No
The Eagle of the Ninth;The Eagle
Eaters of the Dead;The 13th Warrior
Election (Tom Perrotta);Election
Elephant Walk;Elephant Walk
Elmer Gantry;Elmer Gantry
Emma;Emma
Empire of the Sun;Empire of the Sun
The End of the Affair;The End of the Affair
Endless Love;Endless Love
Enemy Mine;Enemy Mine
The English Patient;The English Patient
Eragon;Eragon
Everything Is Illuminated;Everything Is Illuminated
The Executioners;Cape Fear
Exit to Eden;Exit to Eden
Exit Wounds;Exit Wounds
Exodus;Exodus
The Exorcist;The Exorcist
Falling Angel;Angel Heart
The Fan (Peter Abrahams);The Fan
Fantastic Mr Fox;Fantastic Mr. Fox
A Farewell to Arms;A Farewell to Arms
Farewell to the King (L'Adieu au Roi);Farewell to the King
Father of Frankenstein;Gods and Monsters
Father Sky;Taps
Fear and Loathing in Las Vegas;Fear and Loathing in Las Vegas
The Feather Men;Killer Elite
The Fellowship of the Ring;The Lord of the Rings: The Fellowship of the Ring
Fever Pitch;Fever Pitch
Fight Club;Fight Club
Firefox (Craig Thomas);Firefox
Firestarter (Stephen King);Firestarter
The Firm (John Grisham);The Firm
First Blood;First Blood
The First Wives Club;The First Wives Club
Flight of the Intruder;Flight of the Intruder
Focus (Arthur Miller);Focus
For Love of the Game;For Love of the Game
For Whom the Bell Tolls;For Whom the Bell Tolls
Force 10 From Navarone;Force 10 from Navarone
Forever Amber;Forever Amber
Forrest Gump;Forrest Gump
The Fox and the Hound;The Fox and the Hound
Frankenstein (Mary Shelley);Young Frankenstein
Freaky Friday;Freaky Friday
Freedomland;Freedomland
Fried Green Tomatoes at the Whistle Stop Cafe;Fried Green Tomatoes
The Friendly Persuasion;Friendly Persuasion
From Here to Eternity;From Here to Eternity
"From Russia, with Love";From Russia with Love
Funny Farm;Funny Farm
The Fury (John Farris);The Fury
Get Shorty;Get Shorty
The Getaway (Jim Thompson);The Getaway
The Ghost (Robert Harris);The Ghost Writer
Giant (Edna Ferber);Giant
The Glass Inferno;The Towering Inferno
The Godfather (Mario Puzo);The Godfather
Gods and Generals;Gettysburg
The Golden Bowl;The Golden Bowl
Goldfinger;Goldfinger
Gone with the Wind;Gone with the Wind
The Good German;The Good German
A Good Year (Peter Mayle);A Good Year
Great Expectations;Great Expectations
The Great Gatsby;The Great Gatsby
The Great Train Robbery;The First Great Train Robbery
The Green Mile;The Green Mile
Gulliver's Travels;Gulliver's Travels
The Guns of Navarone;The Guns of Navarone
Hannibal (Thomas Harris);Hannibal
Harry Potter;Harry Potter and the Sorcerer's Stone
Harry Potter and the Philosopher's Stone;Harry Potter and the Sorcerer's Stone
Harry Potter and the Chamber of Secrets;Harry Potter and the Chamber of Secrets
Harry Potter and the Prisoner of Azkaban;Harry Potter and the Prisoner of Azkaban
Harry Potter and the Goblet of Fire;Harry Potter and the Goblet of Fire
Harry Potter and the Order of the Phoenix;Harry Potter and the Order of the Phoenix
Harry Potter and the Half-Blood Prince;Harry Potter and the Half-Blood Prince
Harry Potter and the Deathly Hallows;Harry Potter and the Deathly Hallows: Part 2
Hart's War;Hart's War
The Haunting of Hill House;The Haunting
Hawaii (James A. Michener);Hawaii
Headhunters (Jules Bass);Monte Carlo
The Hellbound Heart;Hellraiser
The Help (Kathryn Stockett);The Help
High Fidelity;High Fidelity
A History of Violence;A History of Violence
The Hitchhiker's Guide to the Galaxy;The Hitchhiker's Guide to the Galaxy
The Hobbit;The Hobbit: An Unexpected Journey
The Honorary Consul;The Honorary Consul
The Host (Stephenie Meyer);The Host
The Hours (Michael Cunningham);The Hours
How Green Was My Valley;How Green Was My Valley
The Howling;The Howling
The Human Stain;The Human Stain
The Hundred and One Dalmatians;One Hundred and One Dalmatians
The Hunger Games;The Hunger Games
Mockingjay;Mockingjay - Part 1
The Hunt for Red October;The Hunt for Red October
I Am Legend;I Am Legend
I Am Number Four;I Am Number Four
I Know What You Did Last Summer;I Know What You Did Last Summer
"I Love You, Beth Cooper";"I Love You, Beth Cooper"
If I Die Before I Wake;The Lady from Shanghai
Im Westen Nichts Neues;All Quiet on the Western Front
"Immortality, Inc.";Freejack
In Country (Bobbie Ann Mason);In Country
Interview with the Vampire;Interview with the Vampire: The Vampire Chronicles
The Iron Man (Ted Hughes);The Iron Giant
The Island;The Island
It Can't Happen Here;Shadow of the Vampire
Ivanhoe;Ivanhoe
James and the Giant Peach;James and the Giant Peach
Jaws;Jaws
Jitter Joint;D-Tox
Journey to the West;The Forbidden Kingdom
The Joy Luck Club;The Joy Luck Club
Jumanji;Jumanji
Jurassic Park;Jurassic Park
The King's Damosel;Quest for Camelot
The Killer Angels;Gettysburg
The Killer Inside Me;The Killer Inside Me
Kiss the Girls;Kiss the Girls
L.A. Confidential;L.A. Confidential
The Lady of the Camellias;Camille
The Lair of the White Worm;The Lair of the White Worm
The Last of the Mohicans;The Last of the Mohicans
The Last Picture Show;The Last Picture Show
The Last Song;The Last Song
Lay This Laurel;Glory
Left Behind;Left Behind
Let the Right One In;Låt den rätte komma in
Les Liaisons dangereuses;Dangerous Liaisons
Life of Pi;Life of Pi
The Lincoln Lawyer;The Lincoln Lawyer
Like a Fire is Burning;The Work and the Glory II: American Zion
Live and Let Die;Live and Let Die
Logan's Run;Logan's Run
Lolita;Lolita
The Lord of the Rings;The Lord of the Rings: The Return of the King
The Lost World (Michael Crichton);The Lost World: Jurassic Park
Love Story (Erich Segal);Love Story
The Lovely Bones;The Lovely Bones
The Luck of Barry Lyndon;Barry Lyndon
The Lucky One;The Lucky One
Madame Doubtfire;Mrs. Doubtfire
The Magic Bed Knob;Bedknobs and Broomsticks
The Maltese Falcon;The Maltese Falcon
Man on Fire;Man on Fire
The Man with the Golden Gun;The Man with the Golden Gun
The Manchurian Candidate;The Manchurian Candidate
Marnie;Marnie
Mary Poppins;Mary Poppins
MASH: A Novel About Three Army Doctors;M*A*S*H
Matilda (Roald Dahl);Matilda
Maurice (E. M. Forster);Maurice
The Memoirs of Cleopatra;Cleopatra
Message in a Bottle;Message in a Bottle
A Midnight Clear;A Midnight Clear
The Midwich Cuckoos;Village of the Damned
The Girl with the Dragon Tattoo (Millennium series) (Stieg Larsson);The Girl with the Dragon Tattoo
Les Miserables;Les Miserables
Misery (Stephen King);Misery
Moonraker;Moonraker
The Mortal Instruments;The Mortal Instruments: City of Bones
The Mosquito Coast;The Mosquito Coast
Mother Night;Mother Night
Mrs. Frisby and the Rats of NIMH;The Secret of NIMH
Murphy’s Romance: A Novel;Murphy's Romance
Mute Witness;Bullitt
The Mysterious Island;"20,000 Leagues Under the Sea"
Mystic River;Mystic River
Naked Lunch;Naked Lunch
The Nanny Diaries;The Nanny Diaries
The Natural (Bernard Malamud);The Natural
The Neverending Story;Die unendliche Geschichte
The Night of the Iguana;The Night of the Iguana
Nine and a Half Weeks: A Memoir of a Love Affair;Nine 1/2 Weeks
No Country for Old Men;No Country for Old Men
Northwest Passage;'Northwest Passage' (Book I -- Rogers' Rangers)
The Notebook (Nicholas Sparks);The Notebook
Nothing Lasts Forever;Die Hard
Nurse Matilda;Nanny McPhee
Odyssey (Homer);"O Brother, Where Art Thou?"
Oil! (Upton Sinclair);There Will Be Blood
On Her Majesty's Secret Service;On Her Majesty's Secret Service
On Stranger Tides;Pirates of the Caribbean: On Stranger Tides
One Flew Over the Cuckoo's Nest;One Flew Over the Cuckoo's Nest
One for the Money;One for the Money
One Gallant Rush;Glory
One Shot;Jack Reacher
The Onion Field;The Onion Field
Lauran Paine;Open Range
Ordinary People;Ordinary People
Orlando: A Biography;Orlando
The Other Boleyn Girl;The Other Boleyn Girl
Out of Sight (Elmore Leonard);Out of Sight
The Outsiders (S. E. Hinton);The Outsiders
The Painted Veil;The Painted Veil
A Passage to India;A Passage to India
Patriot Games;Patriot Games
The Pelican Brief;The Pelican Brief
The Penal Colony (Richard Herley);No Escape
Percy Jackson and the Olympians;Percy Jackson & the Olympians: The Lightning Thief
Pet Sematary;Pet Sematary
"Peter Pan, or The Boy Who Wouldn't Grow Up";Finding Neverland
The Phantom of the Opera;The Phantom of the Opera
The Pillar of Light;The Work and the Glory
The Pirates! (Gideon Defoe);The Pirates! In an Adventure with Scientists
La Planete des singes;Planet of the Apes
The Polar Express;The Polar Express
Le Pont de la Riviere Kwai;The Bridge on the River Kwai
The Pope of Greenwich Village;The Pope of Greenwich Village
The Poseidon Adventure;The Poseidon Adventure
The Positronic Man;Bicentennial Man
Possession: A Romance;Possession
The Postman (David Brin);The Postman
Pride and Prejudice;Pride & Prejudice
The Prince of Tides;The Prince of Tides
The Princess Bride;The Princess Bride
The Princess Diaries;The Princess Diaries
A Princess of Mars;John Carter
The Prisoner of Zenda;The Prisoner of Zenda
Psycho (Robert Bloch);Psycho
Psycho II;Psycho II
The Queen of the Damned;Queen of the Damned
Quentin Durward;Quentin Durward
The Quick and the Dead;The Quick and the Dead
The Quiet American;The Quiet American
Radio Free Albemuth;Radio Free Albemuth
The Rainbird Pattern;Family Plot
The Rainmaker;The Rainmaker
Raise the Titanic!;Raise the Titanic
Random Hearts;Random Hearts
Ratman's Notebooks;Willard
The Razor's Edge;The Razor's Edge
The Reader;The Reader
The Rebel Outlaw: Josey Wales;The Outlaw Josey Wales
Red Alert;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
Red Dragon (Thomas Harris);Manhunter
The Remains of the Day;The Remains of the Day
The Rescuers;The Rescuers
The Return of the King;The Lord of the Rings: The Return of the King
Revolutionary Road;Revolutionary Road
The Highland Rogue;Rob Roy
The Robe;The Robe
A Room with a View;A Room with a View
Rosemary's Baby;Rosemary's Baby
The Rules of Attraction;The Rules of Attraction
Rum Punch;Jackie Brown
The Runaway Jury;Runaway Jury
Paula Gosling;Cobra
The Running Man;The Running Man
Sahara;Sahara
The Sand Pebbles;The Sand Pebbles
A Scanner Darkly;A Scanner Darkly
Armitage Trail;Scarface
Schindler's Ark;Schindler's List
The Secret Life of Bees;The Secret Life of Bees
Sense and Sensibility;Sense and Sensibility
The Shining;The Shining
The Shipping News;The Shipping News
Shutter Island;Shutter Island
Sideways;Sideways
The Siege of Trencher's Farm;Straw Dogs
The Silence of the Lambs;The Silence of the Lambs
A Simple Plan;A Simple Plan
Simple Simon;Mercury Rising
The Sisterhood of the Traveling Pants;The Sisterhood of the Traveling Pants
Skipping Christmas;Christmas with the Kranks
Sleeping with the Enemy;Sleeping with the Enemy
Sliver;Sliver
Something Wicked This Way Comes;Something Wicked This Way Comes
The Space Vampires;Lifeforce
Spartacus;Spartacus
Sphere;Sphere
The Spiderwick Chronicles;The Spiderwick Chronicles
The Spy Who Loved Me;The Spy Who Loved Me
Stardust (Neil Gaiman);Stardust
Stars In My Crown;Stars in My Crown
Starship Troopers;Starship Troopers
A Stir of Echoes;Stir of Echoes
Strange Case of Dr Jekyll and Mr Hyde;The Strange Case of Dr. Jekyll and Mr. Hyde
Strip Tease (Carl Hiaasen);Striptease
Stuart Little;Stuart Little
Stupeur et Tremblement;Vertigo
The Sum of All Fears;The Sum of All Fears
The Swarm (Arthur Herzog);The Swarm
Tales of the South Pacific;South Pacific
Terms of Endearment;Terms of Endearment
These Foolish Things;The Best Exotic Marigold Hotel
Thor (Wayne Smith);Bad Moon
Thunderball;Thunderball
Three-Ten to Yuma;3:10 to Yuma
A Time to Kill;A Time to Kill
The Time Traveler's Wife;The Time Traveler's Wife
Timeline (Michael Crichton);Timeline
To Catch a Thief;To Catch a Thief
To Kill a Mockingbird;To Kill a Mockingbird
"To Sir; With Love";"To Sir, with Love"
The Tower (Richard Martin Stern);The Towering Inferno
Trainspotting;Trainspotting
Treasure Island;Treasure Planet
The Treasure of the Sierra Madre;The Treasure of the Sierra Madre
Les Trois Mousquetaires;The Three Musketeers
True Grit;True Grit
The Twenty-fifth Hour;25th Hour
Twilight (Stephenie Meyer);Twilight
New Moon;The Twilight Saga: New Moon
Eclipse;The Twilight Saga: Eclipse
Breaking Dawn;The Twilight Saga: Breaking Dawn - Part 2
The Two Towers;The Lord of the Rings: The Two Towers
The Unbearable Lightness of Being;The Unbearable Lightness of Being
Union Street (Pat Barker);Stanley & Iris
Valley of the Dolls;Valley of the Dolls
Vampire$;Vampires
Vanity Fair (William Makepeace Thackeray);Vanity Fair
Vengeance: The True Story of an Israeli Counter-Terrorist Team;Munich
Vengeance Valley;Vengeance Valley
A Very Private Gentleman;The American
Vespers in Vienna;The Red Danube
The Vicomte of Bragelonne: Ten Years Later;The Man in the Iron Mask
Vingt mille lieues sous les mers;"20,000 Leagues Under the Sea"
Voyage au centre de la Terre;Journey to the Center of the Earth
The Wages of Fear;Sorcerer
A Walk to Remember;A Walk to Remember
Waltz into Darkness;La sirène du Mississipi
War and Peace;War and Peace
War Horse (Michael Morpurgo);War Horse
The War of the Worlds;The War of the Worlds
Water for Elephants;Water for Elephants
What Dreams May Come;What Dreams May Come
What's the Worst Thing That Could Happen?;What's the Worst That Could Happen?
Where the Wild Things Are;Where the Wild Things Are
White Fang;White Fang
Who Censored Roger Rabbit?;Who Framed Roger Rabbit
Winnie-the-Pooh;Winnie the Pooh
Winter's Bone;Winter's Bone
The Witches of Eastwick;The Witches of Eastwick
The Wolfen;Wolfen
The Woman Chaser (Charles Willeford);The Woman Chaser
The Woman in Black (Susan Hill);The Woman in Black
Wonder Boys (Michael Chabon);Wonder Boys
The Wonderful Wizard of Oz;The Wizard of Oz
The World According to Garp;The World According to Garp
The Year of Living Dangerously;The Year of Living Dangerously
The Year of the Angry Rabbit;Night of the Lepus
You Only Live Twice;You Only Live Twice
Zathura;Zathura: A Space Adventure
Zorba the Greek;Alexis Zorbas
